id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/hide_char_id,characters/1/hide_char_id,fade,highlight,speaker,jump_target
event_maidinvalentine_02_1,40007,event_maidinvalentine_02,Monologue,event_brandnewyear_02_s_1,False,mast,15,delight,anchor,17,delight,Restaurant,1517,1517,1.0,bgm_story_leisuretime,Grey,,,,,,
event_maidinvalentine_02_2,40007,event_maidinvalentine_02,Monologue,event_brandnewyear_02_s_2,False,,15,special,,17,angry,,1517,1517,1.0,,Grey,,,,,,
event_maidinvalentine_02_3,40007,event_maidinvalentine_02,Monologue,event_brandnewyear_02_s_3,False,,15,special,,17,angry,Bar,1517,15,1.0,,,mast,anchor,black,,,
event_maidinvalentine_02_4,40007,event_maidinvalentine_02,Speech,event_brandnewyear_02_s_4,True,sugar_p,1,idle,,,,,15,1,1.0,none,,,,,sugar_p,sugar,
event_maidinvalentine_02_5,40007,event_maidinvalentine_02,Speech,event_brandnewyear_02_s_5,True,,1,idle,,,,,1,1,1.0,bgm_story_breakaway,,,,,sugar_p,sugar,
event_maidinvalentine_02_6,40007,event_maidinvalentine_02,Speech,event_brandnewyear_02_s_6,True,,1,idle,,,,,1,S_10,1.0,,,,,,sugar_p,sugar,
event_maidinvalentine_02_7,40007,event_maidinvalentine_02,Speech,event_brandnewyear_02_s_7,True,,1,idle,,,,,S_10,S_10,1.0,,,,,,colorfulvip,colorfulvip,
event_maidinvalentine_02_8,40007,event_maidinvalentine_02,Speech,event_brandnewyear_02_s_8,True,,1,idle,,,,,S_10,S_10,1.0,,,,,,colorfulvip,colorfulvip,
event_maidinvalentine_02_9,40007,event_maidinvalentine_02,Speech,event_brandnewyear_02_s_9,True,,1,idle,,,,,S_10,S_100,1.0,,,,,,sugar_p,sugar,
event_maidinvalentine_02_10,40007,event_maidinvalentine_02,Speech,event_brandnewyear_02_s_10,True,,1,idle,,,,,S_100,S_100,1.0,,,,,,sugar_p,sugar,
event_maidinvalentine_02_11,40007,event_maidinvalentine_02,Speech,event_brandnewyear_02_s_11,True,,1,idle,,,,,S_100,S_100,1.0,,,,,,sugar_p,sugar,
event_maidinvalentine_02_12,40007,event_maidinvalentine_02,Self,event_brandnewyear_02_s_12,False,,1,idle,,,,,S_100,S_100,1.0,,,,,,sugar_p,,
event_maidinvalentine_02_13,40007,event_maidinvalentine_02,Self,event_brandnewyear_02_s_13,False,,1,idle,,,,,S_100,S_100,1.0,,,,,,sugar_p,,
event_maidinvalentine_02_14,40007,event_maidinvalentine_02,Speech,event_brandnewyear_02_s_14,True,,1,idle,,,,,S_100,S_10,1.0,,,,,,sugar_p,sugar,
event_maidinvalentine_02_15,40007,event_maidinvalentine_02,Speech,event_brandnewyear_02_s_15,True,,1,idle,,,,,S_10,S_10,1.0,,,,,,sugar_p,sugar,
